@relation 'Loan_Default-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Lfirst-last-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Resample-S1-Z66.0-weka.filters.unsupervised.attribute.Remove-R1-9,13-17,19,21,23-27,29,32'

@attribute rate_of_interest numeric
@attribute Interest_rate_spread numeric
@attribute Upfront_charges numeric
@attribute construction_type {sb,mh}
@attribute Secured_by {home,land}
@attribute income numeric
@attribute LTV numeric
@attribute Security_Type {direct,Indriect}
@attribute Status {yes,no}

@data
?,?,?,sb,home,8040,52.46063,direct,yes
?,?,?,sb,home,5220,76.685393,direct,yes
4.56,0.3213,5726.33,sb,home,9780,69.625604,direct,no
3.75,-0.4291,7400,sb,home,2160,53.221649,direct,no
?,?,?,sb,home,7200,93.154762,direct,yes
?,?,?,sb,home,2760,63.554217,direct,yes
3.75,0.8914,1487.03,sb,home,3240,79.040404,direct,no
4.875,0.9855,518.07,sb,home,7800,6.797809,direct,no
3.99,0.8192,4873.69,sb,home,4860,86.764706,direct,no
3.875,0.2475,283.69,sb,home,2760,95.168067,direct,no
4.125,0.7614,5419.45,sb,home,7860,66.240157,direct,no
3.625,0.227,5266.25,sb,home,2460,85.550459,direct,no
2.99,-0.1646,750.01,sb,home,9600,87.377451,direct,no
3.875,-0.0138,1874,sb,home,6600,67.086331,direct,no
3.25,-0.4705,2666.25,sb,home,3720,99.528302,direct,no
3.375,0.4842,3721.98,sb,home,4260,78.994845,direct,no
3.49,0.3767,0,sb,home,5580,86.005435,direct,no
4.875,1.2276,2170,sb,home,2820,59.072581,direct,no
3.75,0.1526,0,sb,home,7320,40.131579,direct,no
4.375,0.1067,1643.58,sb,home,7740,88.995727,direct,no
3.875,1.2429,4209.6,sb,home,4440,80.063291,direct,no
3.875,0.2211,3803.72,sb,home,6000,72.48954,direct,no
4.18,-0.123,950,sb,home,7740,68.588362,direct,no
4.75,0.6575,984.38,sb,home,10200,71.788991,direct,no
3.99,0.9563,1585.6,sb,home,4080,65.625,direct,no
3.99,0.432,4531.25,sb,home,4080,67.201835,direct,no
3.99,0.3022,4672.5,sb,home,8040,95.305677,direct,no
3.5,0.5731,4820,sb,home,4860,41.921769,direct,no
4.5,-0.0724,6912.5,sb,home,7080,79.522613,direct,no
?,?,?,sb,home,5340,82.718121,direct,yes
4.125,0.5341,6401.25,sb,home,8340,88.407821,direct,no
3.5,0.0534,38375,sb,home,37560,73.008611,direct,no
3.625,0.004,3364.15,sb,home,?,70.127119,direct,no
3.625,0.4486,100.44,sb,home,7800,71.306818,direct,no
3.625,-0.023,0,sb,home,9900,59.958791,direct,no
?,?,?,sb,home,5220,99.512987,direct,yes
4.125,0.46,298.59,sb,home,6240,48.523622,direct,no
3.625,-0.008,64.04,sb,home,13320,22.478693,direct,no
?,?,?,sb,home,2940,88.56383,direct,yes
3.5,-0.1836,1627.8,sb,home,7800,62.266355,direct,no
3.375,0.2407,1167,sb,home,14280,54.94723,direct,no
?,?,?,sb,home,7620,99.242424,direct,yes
3.625,0.6556,3619.25,sb,home,4920,50.679348,direct,no
3.99,0.703,10408.7,sb,home,6900,89.446721,direct,no
3.99,-0.0192,6645,sb,home,10200,69.522145,direct,no
3.5,0.6976,4277.1,sb,home,3480,72.651007,direct,no
4.99,0.4944,1723.75,sb,home,4980,59.908537,direct,no
3.875,0.2651,7000.3,sb,home,14100,89.862205,direct,no
4,0.136,0,sb,home,6840,65.776699,direct,no
3.875,0.4138,15143.75,sb,home,9960,59.969325,direct,no
?,?,?,sb,home,7140,79.745989,direct,yes
?,?,?,sb,home,6480,85.071942,direct,yes
5.5,1.2862,?,sb,home,6540,51.096491,direct,no
4.25,0.0459,4554.41,sb,home,4560,74.038462,direct,no
4.99,0.7147,1422.5,sb,home,3720,61.094675,direct,no
3.99,-0.0393,1596.75,sb,home,4440,47.909699,direct,no
4.625,1.1188,5912,sb,home,7200,76.58046,direct,no
3.375,-0.2129,437.4,sb,home,6480,26.632883,direct,no
3.125,0.0928,4780.82,sb,home,8400,67.857143,direct,no
2.99,-0.4451,4375.98,sb,home,2940,75.297619,direct,no
3.99,0.2809,0,sb,home,26760,60.206935,direct,no
?,?,?,sb,home,7560,30.846774,direct,yes
4,0.0577,0,sb,home,13140,90.567282,direct,no
3.625,1.0811,1907.29,sb,home,5520,91.666667,direct,no
3.99,0.2732,595,sb,home,13380,80.448718,direct,no
3.75,0.0349,4209.1,sb,home,9000,56.191038,direct,no
3.99,0.6145,2844,sb,home,8040,80.063291,direct,no
3.75,0.2897,5828.75,sb,home,6060,66.240157,direct,no
3.75,-0.3521,1665.69,sb,home,13020,89.913366,direct,no
4.18,0.294,2102.43,sb,home,2700,93.539326,direct,no
4.99,1.4111,1760,sb,home,8640,85.614525,direct,no
3.875,0.2872,19625,sb,home,10800,70.06392,direct,no
4.18,0.2096,6939.88,sb,home,9180,83.294393,direct,no
3.55,-0.4184,295,sb,home,6300,27.767413,direct,no
?,?,?,sb,home,3600,80.963303,direct,yes
4.75,1.3292,7651.11,sb,home,7200,66.921397,direct,no
3.25,0.2218,776,sb,home,12480,22.569956,direct,no
3.125,0.4847,932.75,sb,home,5280,96.597633,direct,no
3.75,0.1433,3862.5,sb,home,7620,54.62963,direct,no
?,?,?,sb,home,7260,90.570175,direct,yes
4.375,0.168,1095,sb,home,8400,83.308383,direct,no
?,?,?,sb,home,2820,90.254237,direct,yes
3,-0.2038,0,sb,home,12060,48.747495,direct,no
4.5,1.2701,3765.29,sb,home,4560,89.141414,direct,no
2.875,-0.4768,0,sb,home,12480,34.59507,direct,no
4.56,0.7055,0,sb,home,25200,35.837438,direct,no
4.125,0.602,5425,sb,home,3900,53.027682,direct,no
4.25,-0.0793,2516.95,sb,home,10500,84.179688,direct,no
3.875,1.1717,2968.24,sb,home,7680,84.42029,direct,no
?,?,?,sb,home,6420,73.706897,direct,yes
3.75,0.6316,1641.19,sb,home,4440,51.81686,direct,no
3.5,-0.1329,7212.5,sb,home,5040,58.251834,direct,no
4.5,1.0738,2175.04,sb,home,840,86.931818,direct,no
?,?,?,sb,home,4200,57.482394,direct,yes
3.99,0.6018,1736.29,sb,home,6480,88.246269,direct,no
3.5,-0.0988,2565.05,sb,home,8340,94.220056,direct,no
5.125,1.4192,3090.63,sb,home,1920,75.173611,direct,no
4.5,0.7717,0,sb,home,9240,67.518939,direct,no
4.125,-0.012,1250,sb,home,11280,76.337793,direct,no
4.75,0.5487,1931.25,sb,home,2340,41.071429,direct,no
?,?,?,sb,home,10620,74.159664,direct,yes
4.25,0.3284,5365,sb,home,4500,54.186603,direct,no
4.625,1.0749,6769.72,sb,home,12420,74.684874,direct,no
4.375,0.8822,2433.66,sb,home,4680,83.914729,direct,no
4.75,0.9146,2058.47,sb,home,8460,84.42029,direct,no
3.99,0.3206,3098,sb,home,6000,66.263941,direct,no
5.75,1.4947,1726,sb,home,4560,79.040404,direct,no
3.75,0.0629,545,sb,home,11100,66.868512,direct,no
4.99,1.075,7355,sb,home,9900,80.570652,direct,no
4.5,0.1196,0,sb,home,6780,50.87535,direct,no
3.875,-0.1337,1867.5,sb,home,5220,53.832547,direct,no
3.75,0.3936,5803.7,sb,home,7800,80.448718,direct,no
4.99,0.5549,292.04,sb,home,8940,94.299451,direct,no
3.625,-0.1705,3800,sb,home,55440,80.857741,direct,no
4.375,0.1267,0,sb,home,15420,93.380463,direct,no
4.56,0.692,0,sb,home,3420,58.971292,direct,no
4.5,0.2978,4362.5,sb,home,1440,38.567073,direct,no
4.18,0.1389,0,sb,home,14520,92.725989,direct,no
3.375,-0.0956,4000,sb,home,10260,82.58547,direct,no
3.375,-0.0508,7450.04,sb,home,5760,78.311966,direct,no
4.125,-0.0479,300,sb,home,9180,38.49278,direct,no
3.99,0.3223,156.04,sb,home,7740,90.948276,direct,no
5.125,1.0027,1180.89,sb,home,1200,72.435897,direct,no
4.5,0.9921,3367.5,sb,home,2340,41.071429,direct,no
?,?,?,sb,home,3360,169.140625,direct,yes
3.875,1.1313,3439.34,sb,home,1740,67.405063,direct,no
4.25,0.2156,1170,sb,home,2640,87.921348,direct,no
3.75,0.3879,4597.13,sb,home,1500,93.154762,direct,no
3.875,0.5011,7476.88,sb,home,4920,75.13587,direct,no
4.5,0.4717,2802.5,sb,home,5220,58.928571,direct,no
3.49,0.7155,6534.16,sb,home,2880,86.184211,direct,no
3.625,0.2452,2750,sb,home,1680,93.154762,direct,no
3.375,0.5755,5576.5,sb,home,5100,52.094972,direct,no
3.5,-0.0965,0,sb,home,7740,58.928571,direct,no
3.99,1.2344,2781.03,sb,home,4620,80.783582,direct,no
3.375,-0.2151,785.23,sb,home,7740,63.968481,direct,no
4.875,1.3618,0,sb,home,11220,56.909548,direct,no
3.99,1.0139,1925,sb,home,6900,83.914729,direct,no
?,?,?,sb,home,8100,94.458763,direct,yes
3.75,0.3404,0,sb,home,9420,95.305677,direct,no
3.99,0.5116,2783,sb,home,4860,69.295302,direct,no
3.25,-0.2815,3431.69,sb,home,6720,68.714689,direct,no
3.5,-0.0854,50.2,sb,home,12300,75.07716,direct,no
5.25,1.3178,2000,sb,home,1380,12.792642,direct,no
3.99,-0.108,0,sb,home,7200,54.370629,direct,no
?,?,?,sb,home,8340,69.104803,direct,yes
3.75,0.9936,1536.28,sb,home,2580,33.630952,direct,no
4.25,0.042,969.42,sb,home,8940,83.924205,direct,no
?,?,?,sb,home,4980,89.772727,direct,yes
3.75,0.1217,5500,sb,home,6180,84.851301,direct,no
?,?,?,sb,home,15840,67.785571,direct,yes
3.375,-0.0607,10913.71,sb,home,7260,91.988417,direct,no
3.99,-0.2332,3500,sb,home,3000,80.963303,direct,no
?,?,?,sb,home,1560,85.614525,direct,yes
?,?,?,sb,home,2700,55.699088,direct,yes
3.75,0.3556,8000,sb,home,6000,50.751503,direct,no
3.625,0.0307,6720,sb,home,5880,69.265233,direct,no
3.5,0.0376,8244,sb,home,4140,84.926471,direct,no
4.875,0.6392,0,sb,home,7680,67.113095,direct,no
3.75,0.2459,5170,sb,home,3720,53.591954,direct,no
4.49,1.8709,1497.5,sb,home,1320,44.140625,direct,no
3.75,0.7647,3281.25,sb,home,5820,39.779874,direct,no
?,?,?,sb,home,5820,82.035176,direct,yes
3.99,0.2182,5780.8,sb,home,8580,51.993166,direct,no
4.75,0.728,1100,sb,home,11160,74.441341,direct,no
3.5,-0.1067,4544.6,sb,home,2340,75.887574,direct,no
4.375,0.026,5450,sb,home,1860,57.305195,direct,no
4.5,1.0589,9282.5,sb,home,6480,73.948598,direct,no
3.99,-0.0661,4702.06,sb,home,1740,64.534884,direct,no
3.99,0.5243,4373.5,sb,home,4020,69.104803,direct,no
3.99,0.3892,10805,sb,home,4140,49.772313,direct,no
4.625,0.6267,997.04,sb,home,11160,80.016447,direct,no
5.125,0.5858,523.51,sb,home,19920,75.887574,direct,no
3.375,0.8607,3119.59,sb,home,1260,89.351852,direct,no
?,?,?,sb,home,0,78.994845,direct,yes
4.99,1.3403,3971.43,sb,home,3600,84.514925,direct,no
4.125,0.851,4812.5,sb,home,3780,33.99654,direct,no
3.625,0.7134,4950,sb,home,7140,70.502645,direct,no
?,?,?,sb,home,3180,110.393258,direct,yes
?,?,?,sb,home,1320,69.054878,direct,yes
3.625,-0.1414,450,sb,home,5160,78.76569,direct,no
3.625,-0.1154,4917.2,sb,home,13740,77.320359,direct,no
2.875,-0.2259,287.56,sb,home,5340,80.709343,direct,no
?,?,?,sb,home,3120,90.137615,direct,yes
3.375,-0.3569,302.25,sb,home,3660,92.808219,direct,no
3.5,-0.1823,5825,sb,home,7620,84.025788,direct,no
3.625,0.26,6808.04,sb,home,3240,52.367424,direct,no
?,?,?,sb,home,7020,69.104803,direct,yes
4.99,0.2122,1650,sb,home,10620,57.415254,direct,no
?,?,?,sb,home,6660,85.287081,direct,yes
?,?,?,sb,home,2580,82.303371,direct,yes
3.25,0.0006,795,sb,home,29580,47.425094,direct,no
3.625,0.0978,3864.19,sb,home,4980,90.396341,direct,no
3.875,-0.3344,1339.38,sb,home,5040,59.937238,direct,no
4.125,0.7862,3150,sb,home,2100,51.201923,direct,no
4.25,1.253,3240.79,sb,home,5400,80.03876,direct,no
3.99,0.2666,1865.74,sb,home,6600,80.292479,direct,no
4.75,1.1048,2393.75,sb,home,2880,58.027523,direct,no
3.99,0.5049,6733.13,sb,home,8940,89.572864,direct,no
4.125,-0.0792,0,sb,home,6240,75.07716,direct,no
4.625,1.0326,2591.6,sb,home,6180,79.040404,direct,no
3.875,1.0632,6250,sb,home,5280,78.20122,direct,no
4.375,0.5164,3302.08,sb,home,8040,92.279412,direct,no
3.375,0.205,2453.75,sb,home,6720,69.764957,direct,no
4.5,0.6433,0,sb,home,11220,94.251825,direct,no
4.125,0.4917,11541.38,sb,home,9120,77.468153,direct,no
4.125,-0.1342,3674.78,sb,home,3720,76.785714,direct,no
4.75,0.7348,2922.83,sb,home,2460,60.817308,direct,no
4.56,0.678,3418.75,sb,home,21180,74.159664,direct,no
3.99,0.5045,5037.5,sb,home,6300,49.595469,direct,no
3.99,0.222,1250,sb,home,6960,80.017921,direct,no
3.75,0.2813,5993.08,sb,home,6060,64.632107,direct,no
3.5,-0.0771,4299.69,sb,home,22320,48.695446,direct,no
?,?,?,sb,home,1260,39.583333,direct,yes
3.5,-0.0182,6570,sb,home,15600,93.445122,direct,no
4.375,0.3351,6157.6,sb,home,5340,48.909884,direct,no
?,?,?,sb,home,5640,93.545082,direct,yes
4.25,0.9842,3340,sb,home,2400,63.392857,direct,no
4.875,1.3958,2612.5,sb,home,11700,69.927536,direct,no
3.5,0.0252,11290,sb,home,8100,87.629758,direct,no
3.625,0.7751,1599.33,sb,home,1500,80.063291,direct,no
3.99,1.0145,1758,sb,home,2700,32.208029,direct,no
4.375,0.6972,2665,sb,home,7380,90.09434,direct,no
3.99,0.3475,3554,sb,home,5220,82.118056,direct,no
3.99,0.4309,3740,sb,home,4980,66.983696,direct,no
3.99,1.2587,2500,sb,home,3300,58.027523,direct,no
4.25,0.5888,3933.25,sb,home,11280,74.721448,direct,no
?,?,?,sb,home,300,80.021834,direct,yes
4.625,1.1461,2459.94,sb,home,6900,56.278539,direct,no
3.375,0.2631,4713.6,sb,home,1800,43.923611,direct,no
3.5,0.9051,2752.71,sb,home,1500,51.488095,direct,no
3.5,0.8887,4081.99,sb,home,2280,36.350575,direct,no
3.625,0.2325,5263.49,sb,home,2460,49.517375,direct,no
4.375,0.3178,2350,sb,home,7920,75.07716,direct,no
4.5,0.4984,3529.38,sb,home,3360,59.486607,direct,no
3.75,0.7686,5075,sb,home,7320,80.957944,direct,no
3.99,0.5723,4125,sb,home,5520,69.472362,direct,no
4.875,0.4854,4530,sb,home,3720,99.342105,direct,no
4.75,0.6116,1150,sb,home,1860,91.666667,direct,no
?,?,?,sb,home,2580,51.712329,direct,yes
3.1,-0.2485,1279.35,sb,home,7440,73.93617,direct,no
?,?,?,sb,home,7920,92.640187,direct,yes
5.19,0.7484,0,sb,home,7740,65.501319,direct,no
4.125,0.8501,4000.91,sb,home,1800,98.828125,direct,no
4.25,1.4964,0,sb,home,3300,99.369748,direct,no
4,0.3931,1039.08,sb,home,6780,89.304124,direct,no
?,?,?,sb,home,6000,92.266187,direct,yes
4.375,1.2287,0,sb,home,3900,96.14094,direct,no
3.99,1.9158,5244.34,sb,home,8820,71.226415,direct,no
3.625,-0.1439,4675,sb,home,5760,91.830709,direct,no
4.25,0.7437,2840,sb,home,4020,67.405063,direct,no
4.99,0.8577,1662.5,sb,home,4620,67.570281,direct,no
5.5,1.4431,4248.75,sb,home,5880,72.606383,direct,no
3.99,0.9603,2695.96,sb,home,2460,59.765625,direct,no
?,?,?,sb,home,4380,83.244681,direct,yes
3.625,-0.1121,1850,sb,home,2700,71.226415,direct,no
4.375,0.1167,795,sb,home,4260,93.639053,direct,no
4.99,0.7796,4106.25,sb,home,5160,68.081761,direct,no
3.75,-0.0663,142.7,sb,home,8220,71.659708,direct,no
3.875,0.2786,2239.78,sb,home,1620,71.067416,direct,no
4.125,0.7837,7007.16,sb,home,4020,43.397887,direct,no
4.125,-0.0009,0,sb,home,5700,91.201117,direct,no
?,?,?,sb,home,1740,44.266055,direct,yes
3.875,0.9783,3856.63,sb,home,9000,74.371069,direct,no
3.99,0.4578,?,sb,home,5700,80.027933,direct,no
4.5,0.183,0,sb,home,11400,69.990366,direct,no
3.99,0.2625,953.1,sb,home,6720,88.127413,direct,no
4.125,0.6757,12003.75,sb,home,12960,62.535817,direct,no
4,0.3224,839.12,sb,home,8220,79.505076,direct,no
?,?,?,sb,home,11160,59.769539,direct,yes
3.875,0.3907,5430,sb,home,3660,64.274691,direct,no
4.125,0.7002,7572.5,sb,home,5820,86.949686,direct,no
?,?,?,sb,home,1800,71.169355,direct,yes
3.625,0.0848,4093.75,sb,home,6480,84.149485,direct,no
3.75,0.2673,1622.19,sb,home,3840,65.086207,direct,no
4.75,0.5977,1422.94,sb,home,10740,80.03876,direct,no
4.125,0.7799,5130,sb,home,7020,89.0625,direct,no
4.5,0.4888,3736.14,sb,home,7500,76.253918,direct,no
3.625,0.0078,0,sb,home,11640,60.771543,direct,no
4.99,0.9034,4777.55,sb,home,6960,103.571429,direct,no
4.875,0.5611,3090,sb,home,10260,73.305085,direct,no
?,?,?,sb,home,9300,79.682274,direct,yes
3.75,-0.637,226.32,sb,home,6540,52.367424,direct,no
3.125,0.3204,0,sb,home,3480,93.445122,direct,no
3.5,0.8586,7026.32,sb,home,14520,99.740484,direct,no
4.875,0.5314,5700,sb,home,4920,74.326347,direct,no
4,-0.0577,928.35,sb,home,6480,45.467557,direct,no
?,?,?,sb,home,6360,94.191919,direct,yes
5.5,1.3945,3133.94,sb,home,2280,75.390625,direct,no
?,?,?,sb,home,2220,87.790698,direct,yes
4,0.5042,10189.92,sb,home,13800,94.642857,direct,no
4.99,0.6693,1699.38,sb,home,6300,75.519031,direct,no
3.75,0.4924,8619.71,sb,home,3840,79.362416,direct,no
3.875,0.4086,6166.25,sb,home,3960,90.966387,direct,no
?,?,?,sb,home,5400,87.721893,direct,yes
4.99,0.6773,5070,sb,home,7440,72.56447,direct,no
?,?,?,sb,home,4200,96.875,direct,yes
4.99,1.3603,6001.25,sb,home,7800,85.194175,direct,no
4.75,0.5673,4893.75,sb,home,6120,40.296804,direct,no
3.625,0.0749,4221.6,sb,home,4980,53.820961,direct,no
3.625,0.1537,1277.85,sb,home,13680,65.681004,direct,no
3.5,0.0779,4525.25,sb,home,4620,82.118056,direct,no
3.625,0.1897,0,sb,home,43140,90.246212,direct,no
4.375,1.6023,1193.56,sb,home,6600,80.032468,direct,no
?,?,?,sb,home,7980,61.100386,direct,yes
3.99,0.483,0,sb,home,6000,62.959866,direct,no
4.875,0.6224,1150,sb,home,5160,74.58159,direct,no
4.99,0.8614,3486,sb,home,17520,71.067416,direct,no
3.625,0.1156,2717.5,sb,home,19620,65.054745,direct,no
4.375,0.8695,5947.59,sb,home,10500,55.514706,direct,no
3.99,0.4555,3600,sb,home,5040,62.566138,direct,no
4.125,-0.204,950,sb,home,10140,28.707415,direct,no
3.875,0.2906,2576.04,sb,home,6420,102.75974,direct,no
4.375,0.1414,435,sb,home,4380,90.966387,direct,no
4.75,0.2365,3375,sb,home,5940,65.491453,direct,no
4.375,0.2692,0,sb,home,4500,89.304124,direct,no
?,?,?,sb,home,5940,91.666667,direct,yes
4.125,0.3438,5497.5,sb,home,3780,54.058442,direct,no
4.375,0.4627,4517.5,sb,home,4440,71.226415,direct,no
3.125,0.3403,5154.5,sb,home,4320,58.187773,direct,no
3,-0.4515,2016.28,sb,home,4980,61.71875,direct,no
3.875,0.7663,1778.65,sb,home,5220,78.846154,direct,no
3.875,0.2121,10090,sb,home,10200,53.925121,direct,no
4.99,0.8011,5658.7,sb,home,3960,68.229167,direct,no
4.25,0.3113,0,sb,home,5880,93.994413,direct,no
3.25,0.8187,2978.11,sb,home,2940,86.931818,direct,no
3.625,0.0939,1250,sb,home,3480,41.238318,direct,no
?,?,?,sb,home,3060,59.831461,direct,yes
4.375,0.1183,5638.75,sb,home,7320,92.266187,direct,no
3,-0.0174,3457.89,sb,home,14100,82.718121,direct,no
3.99,0.5992,7157.69,sb,home,2400,77.052239,direct,no
4.875,0.976,4075,sb,home,2280,64.254386,direct,no
2.75,-0.4309,0,sb,home,7500,46.329879,direct,no
3.49,-0.2301,3395.38,sb,home,5460,99.632353,direct,no
3.49,0.0157,5405,sb,home,4140,64.756944,direct,no
3.625,0.2135,15810,sb,home,12180,49.489101,direct,no
3.5,-0.2662,4400,sb,home,6480,76.285047,direct,no
3.75,-0.013,1625,sb,home,11040,54.1019,direct,no
3.875,0.5091,7033.77,sb,home,10140,73.327465,direct,no
4.75,0.2862,0,sb,home,2580,48.537061,direct,no
4.5,0.2353,4017.81,sb,home,6420,70.177165,direct,no
3.875,0.4267,5848.8,sb,home,9000,59.081197,direct,no
4,0.2681,2390.71,sb,home,8520,61.71024,direct,no
?,?,?,sb,home,6300,80.016447,direct,yes
3.99,1.1657,0,sb,home,5640,97.73622,direct,no
3.875,0.3555,0,sb,home,3960,77.34375,direct,no
4.56,0.4798,1810.2,sb,home,7020,69.886364,direct,no
?,?,?,sb,home,26580,55.829016,direct,yes
3.125,0.4969,9198.57,sb,home,9300,99.460432,direct,no
3.75,0.7508,3170,sb,home,5940,59.908537,direct,no
4.125,0.4337,2594,sb,home,8820,73.706897,direct,no
4.375,0.8857,4867.18,sb,home,11880,74.364407,direct,no
4.125,0.7019,7424.96,sb,home,3480,65.491453,direct,no
3.99,0.8315,3701.84,sb,home,9840,58.395522,direct,no
4.75,1.0768,3360,sb,home,4500,80.783582,direct,no
?,?,?,sb,home,4800,52.055921,direct,yes
3.99,-0.2452,15530.91,sb,home,11220,80.015198,direct,no
4.5,0.6868,6403.2,sb,home,4920,79.454023,direct,no
?,?,?,sb,home,5100,96.957672,direct,yes
?,?,?,sb,home,5400,102.951389,direct,yes
3.625,-0.0345,1222.2,sb,home,4800,64.648438,direct,no
4.99,1.3201,0,sb,home,4020,49.454148,direct,no
4.99,1.3191,1654.38,sb,home,3180,83.914729,direct,no
?,?,?,sb,home,5520,86.094225,direct,yes
3.875,0.2577,5110.8,sb,home,3120,80.03876,direct,no
?,?,?,sb,home,5880,84.149485,direct,yes
4.375,0.4312,6760,sb,home,3420,67.011834,direct,no
?,?,?,sb,home,1320,51.201923,direct,yes
3.5,0.4265,4339.35,sb,home,8940,86.812298,direct,no
4.99,1.2754,0,sb,home,6360,72.354015,direct,no
3.49,0.7202,3127.66,sb,home,3120,98.986486,direct,no
4,0.4616,0,sb,home,7500,94.550173,direct,no
3.875,0.5894,4616.23,sb,home,4740,50.811688,direct,no
?,?,?,sb,home,2520,97.794118,direct,yes
4.25,0.112,0,sb,home,17940,77.937788,direct,no
3.5,0.4059,2253.13,sb,home,10620,26.703407,direct,no
4.5,0.5532,5000,sb,home,4980,99.418605,direct,no
3.875,0.5009,3862.5,sb,home,3420,94.471154,direct,no
4.56,0.4256,574.8,sb,home,8040,50.203583,direct,no
?,?,?,sb,home,3780,84.090909,direct,yes
?,?,?,sb,home,3300,44.39314,direct,yes
3.5,-0.0355,3998.2,sb,home,8340,69.459103,direct,no
4.5,0.9719,1050,sb,home,6720,85.071942,direct,no
3.69,-0.028,0,sb,home,10500,66.047297,direct,no
3.99,1.0894,1250,sb,home,14520,80.048077,direct,no
3.625,0.099,9725.78,sb,home,16140,88.777372,direct,no
?,?,?,sb,home,4020,55.174292,direct,yes
4.75,1.4413,2674.44,sb,home,4200,75.390625,direct,no
3.99,1.1357,3164.42,sb,home,6660,71.788991,direct,no
3.25,-0.4843,3575,sb,home,41520,80.526992,direct,no
3.625,0.9505,3322.5,sb,home,2400,71.959459,direct,no
?,?,?,sb,home,67560,75.035511,direct,yes
3.75,1.0377,7326.88,sb,home,4140,88.246269,direct,no
?,?,?,sb,home,8580,40.344468,direct,yes
3.99,-0.0546,152.62,sb,home,12600,93.693009,direct,no
3.5,-0.0679,9934,sb,home,9120,66.337386,direct,no
3.375,-0.2706,3735.95,sb,home,9660,38.735465,direct,no
2.99,-0.0622,795,sb,home,12000,24.779087,direct,no
?,?,?,sb,home,3660,60.334646,direct,yes
3.75,0.2642,8250,sb,home,8640,66.858553,direct,no
4.625,0.5946,1962.38,sb,home,4800,96.597633,direct,no
3.625,-0.1397,119.24,sb,home,11880,29.414683,direct,no
4,0.146,995,sb,home,10980,49.828532,direct,no
3.5,0.1217,12312.5,sb,home,3660,70.177165,direct,no
3.99,0.2796,1250,sb,home,11220,71.057348,direct,no
3.69,0.0458,6859,sb,home,7200,94.157609,direct,no
4.25,0.5635,0,sb,home,10020,87.225705,direct,no
3.875,0.2441,4363.2,sb,home,5520,80.60472,direct,no
?,?,?,sb,home,1140,51.953125,direct,yes
4.25,0.254,995,sb,home,9180,88.804945,direct,no
3.5,-0.1519,3910,sb,home,7440,27.144714,direct,no
4.25,0.84,2095,sb,home,4500,56.648936,direct,no
3.5,0.1464,3234.06,sb,home,2520,87.298387,direct,no
3.875,0.4527,4128.74,sb,home,5340,86.073825,direct,no
3.5,0.5929,7226,sb,home,7380,45.06079,direct,no
3.75,-0.3295,0,sb,home,8220,82.439446,direct,no
3.75,0.457,0,sb,home,13860,78.110048,direct,no
5.99,1.592,?,sb,home,13620,11.35961,direct,no
3.99,0.4096,9800,sb,home,5100,72.48954,direct,no
3.75,-0.4361,1547.64,sb,home,5880,60.168651,direct,no
4.25,0.4189,4650,sb,home,8880,80.027933,direct,no
4.5,0.8047,2370.4,sb,home,5040,71.984925,direct,no
3.75,0.1862,0,sb,home,?,89.90113,direct,no
3.99,1.437,3105.65,sb,home,3180,55.040323,direct,no
4,0.3024,0,sb,home,10320,88.649025,direct,no
3.99,0.1475,3748.78,sb,home,3660,83.266129,direct,no
3.875,0.3027,1391.55,sb,home,3840,95.708955,direct,no
3.875,0.0613,6348,sb,home,5580,89.0625,direct,no
?,?,?,sb,home,2940,36.350575,direct,yes
4.99,1.1886,4726.15,sb,home,2460,46.069182,direct,no
3.875,0.7591,0,sb,home,6540,97.975352,direct,no
3.125,-0.1065,0,sb,home,22140,27.224123,direct,no
?,?,?,sb,home,9000,58.838384,direct,yes
3.99,0.3641,1512,sb,home,12060,70.529197,direct,no
4.375,0.2394,0,sb,home,11520,73.867314,direct,no
3.625,0.3736,5619.48,sb,home,2640,95.362903,direct,no
?,?,?,sb,home,1920,50.762195,direct,yes
3.625,0.1049,3249,sb,home,3780,92.22973,direct,no
3.375,-0.2802,2328.12,sb,home,4680,69.265233,direct,no
3.875,1.1568,4161.5,sb,home,2940,67.201835,direct,no
4.99,1.4264,2347.48,sb,home,1920,75.390625,direct,no
4,0.1741,0,sb,home,8940,91.317992,direct,no
5.25,0.726,795,sb,home,16320,32.766544,direct,no
3.99,0.3099,?,sb,home,6060,63.268156,direct,no
4.375,0.3234,3128.13,sb,home,9000,99.342105,direct,no
4.25,-0.0766,4966.25,sb,home,9360,72.145669,direct,no
4.375,0.6889,4375,sb,home,3660,69.701087,direct,no
3.125,0.3585,10385,sb,home,10020,20.713351,direct,no
3.75,0.1092,695,sb,home,5640,84.388646,direct,no
4.75,0.5718,7000,sb,home,11040,78.817365,direct,no
3.75,-0.1325,7605.44,sb,home,7680,69.701087,direct,no
3.99,0.4023,2403.22,sb,home,6900,80.957944,direct,no
?,?,?,sb,home,5820,93.821839,direct,yes
?,?,?,sb,home,9060,42.561684,direct,yes
